kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 85 : 6 1538 32 0 0 2 2 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 215 : 5 13950 768 0 0 0 1 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 88 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 223 : 11 25 0 0 0 0 0 0 1 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 227 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 100 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 229 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 230 : 6 0 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 103 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 40 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 55 : 6 1638 0 0 0 6 2 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 56 : 6 1638 0 0 0 6 2 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 63 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 72 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 81 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 82 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 91 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 94 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 97 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 108 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 110 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 113 : 6 1903 192 0 0 6 2 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 116 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 119 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 122 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 125 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 128 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 131 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 134 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 137 : 6 138 0 0 0 2 2 0 0 
